function,experiment,log_scale,num_inputs,params,accuracy loss in bits,pk_time_ms,prover_time_ms,verifier_time_ms,proof_size
power,pade,120,100,"['power', 100, 13, 120, 0.876]",6,27,262.01,4.05,8640 Bytes (8.4375 KiB)
power,pwl,16,100,"['power', 100, 0.0, 1.0, 7, 16, 0.876]",5,91,698.49,4.23,9408 Bytes (9.1875 KiB)
power,pwl,32,100,"['power', 100, 0.0, 1.0, 14, 32, 0.876]",5,230,2080,4.43,10176 Bytes (9.9375 KiB)
power,pwl,64,100,"['power', 100, 0.0, 1.0, 14, 64, 0.876]",5,FAILED,FAILED,FAILED,FAILED
power,pwl,120,100,"['power', 100, 0.0, 1.0, 14, 120, 0.876]",5,FAILED,FAILED,FAILED,FAILED
power,gl_quad,16,100,"['power', 100, 3, 16, 0.876]",4,8,119.77,3.88,7872 Bytes (7.6875 KiB)
power,gl_quad,32,100,"['power', 100, 6, 32, 0.876]",4,14,176.9,3.98,8256 Bytes (8.0625 KiB)
power,gl_quad,64,100,"['power', 100, 13, 64, 0.876]",4,32,295.38,4.04,8640 Bytes (8.4375 KiB)
power,gl_quad,120,100,"['power', 100, 23, 120, 0.876]",4,70,679.17,4.24,9408 Bytes (9.1875 KiB)
power,lookup,16,100,"['power', 100, 8, 16, 0.876]",1,10,148.22,3.99,8256 Bytes (8.0625 KiB)
power,lookup,32,100,"['power', 100, 8, 32, 0.876]",3,15,167.74,4.01,8256 Bytes (8.0625 KiB)
power,lookup,64,100,"['power', 100, 8, 64, 0.876]",5,26,258.7,4.04,8640 Bytes (8.4375 KiB)
power,lookup,120,100,"['power', 100, 8, 120, 0.876]",7,48,435.66,4.13,9024 Bytes (8.8125 KiB)
